food_code,food_name,category,kcal_100g,protein_100g,carbs_100g,fat_100g,sugars_100g,fiber_100g
25657,"Sandwich, Viennese bread, chicken, egg and raw vegetables, prepacked",starters and dishes,218.0,9.94,27.0,7.32,3.92,2.33
25655,"Sandwich, Viennese bread, ham, egg and raw vegetables, prepacked",starters and dishes,236.0,9.16,26.6,9.77,4.59,2.2
25656,"Sandwich, Viennese bread, tuna, egg and raw vegetables, prepacked",starters and dishes,229.0,9.74,26.6,8.73,3.88,2.5
25518,"Sandwich, baguette, camembert cheese and butter, homemade",starters and dishes,341.0,11.9,34.8,16.7,2.21,1.92
25640,"Sandwich, baguette, camembert cheese and butter, takeaway",starters and dishes,303.0,11.4,32.9,13.7,1.26,1.4
25476,"Sandwich, baguette, chicken, raw vegetables and mayonnaise, homemade",starters and dishes,263.0,10.4,34.9,8.54,2.67,2.21
25638,"Sandwich, baguette, chicken, raw vegetables and mayonnaise, takeaway",starters and dishes,223.0,10.3,29.7,6.7,2.8,1.3
25663,"Sandwich, baguette, chicken, raw vegetables, prepacked",starters and dishes,216.0,9.0,28.2,7.0,2.8,2.17
25520,"Sandwich, baguette, dry sausage and butter, homemade",starters and dishes,374.0,13.7,35.2,19.4,2.21,1.92
25639,"Sandwich, baguette, dry sausage and butter, takeaway",starters and dishes,293.0,10.4,36.9,11.3,1.93,1.2
25532,"Sandwich, baguette, egg, raw vegetables and mayonnaise",starters and dishes,249.0,8.52,31.6,9.47,2.43,1.89
25517,"Sandwich, baguette, ham and butter, homemade",starters and dishes,285.0,11.6,35.1,10.5,2.38,1.92
25633,"Sandwich, baguette, ham and butter, takeaway",starters and dishes,254.0,10.4,38.8,6.0,2.07,1.4
25485,"Sandwich, baguette, ham and emmental cheese, prepacked",starters and dishes,284.0,12.7,27.9,12.9,2.0,3.0
25634,"Sandwich, baguette, ham and emmental cheese, takeaway",starters and dishes,263.0,12.0,34.5,8.2,2.42,1.2
25521,"Sandwich, baguette, ham, emmental cheese and butter",starters and dishes,298.0,13.4,30.2,13.2,2.32,2.5
25475,"Sandwich, baguette, ham, hard-boiled egg, raw vegetables and butter",starters and dishes,225.0,10.1,31.7,5.98,2.61,1.88
25429,"Sandwich, baguette, kebab and raw vegetables",starters and dishes,272.0,15.0,29.9,9.8,3.3,2.0
25535,"Sandwich, baguette, merguez sausage, ketchup and mustard",starters and dishes,289.0,13.1,32.7,11.4,2.98,1.81
25533,"Sandwich, baguette, pork, raw vegetables and mayonnaise",starters and dishes,272.0,12.0,31.2,10.6,2.38,1.86
25519,"Sandwich, baguette, pâté and pickles",starters and dishes,304.0,10.1,33.5,13.9,2.52,1.99
25530,"Sandwich, baguette, raw vegetables and mayonnaise",starters and dishes,224.0,6.54,30.6,7.9,2.72,2.18
25536,"Sandwich, baguette, salami and butter",starters and dishes,381.0,12.5,33.9,21.4,2.04,1.82
25488,"Sandwich, baguette, smoked salmon and butter",starters and dishes,268.0,11.5,41.7,5.6,2.71,2.4
25632,"Sandwich, baguette, tuna, raw vegetables and mayonnaise, from fast food",starters and dishes,232.0,9.31,28.8,8.5,2.27,1.8
25431,"Sandwich, baguette, tuna, raw vegetables and mayonnaise, homemade",starters and dishes,275.0,10.3,32.1,11.3,1.4,1.78
25490,"Sandwich, baguette, tuna, sweet corn and raw vegetables, prepacked",starters and dishes,193.0,8.87,23.9,6.03,2.83,3.93
25531,"Sandwich, baguette, turkey, raw vegetables and mayonnaise",starters and dishes,257.0,12.4,31.2,8.82,2.27,1.86
25645,"Sandwich, club, wholemeal bread, bacon and raw vegetables, prepacked",starters and dishes,257.0,9.28,25.8,12.4,3.16,2.58
25577,"Sandwich, club, wholemeal bread, chicken and raw vegetables, prepacked",starters and dishes,199.0,8.75,23.0,7.4,3.11,3.1
25662,"Sandwich, club, wholemeal bread, chicken, prepacked",starters and dishes,229.0,11.2,25.3,8.5,3.07,3.43
25641,"Sandwich, club, wholemeal bread, dry sausage, prepacked",starters and dishes,336.0,11.9,26.3,19.5,2.73,3.46
25576,"Sandwich, club, wholemeal bread, ham and cheese, prepacked",starters and dishes,240.0,11.2,23.8,10.5,2.95,2.7
25654,"Sandwich, club, wholemeal bread, ham and raw vegetables, prepacked",starters and dishes,197.0,8.51,22.4,7.58,3.38,2.66
25653,"Sandwich, club, wholemeal bread, ham, cheese and raw vegetables, prepacked",starters and dishes,227.0,9.81,22.9,9.92,3.27,3.38
25652,"Sandwich, club, wholemeal bread, ham, egg and raw vegetables, prepacked",starters and dishes,213.0,8.97,25.6,7.65,2.85,3.2
25599,"Sandwich, club, wholemeal bread, ham, prepacked",starters and dishes,246.0,10.1,26.3,10.5,3.56,2.7
25651,"Sandwich, club, wholemeal bread, smoked salmon, prepacked",starters and dishes,206.0,8.63,24.1,7.69,2.93,2.68
25575,"Sandwich, club, wholemeal bread, tuna and raw vegetables, prepacked",starters and dishes,207.0,9.48,24.3,7.28,2.8,3.2
25650,"Sandwich, club, wholemeal bread, tuna, egg and raw vegetables, prepacked",starters and dishes,196.0,9.78,23.1,6.65,2.68,2.64
25434,"Sandwich, panini bread, cured ham, mozzarella cheese and tomato, toasted",starters and dishes,237.0,14.2,25.7,8.35,0.0,1.4
25501,"Sandwich, panini bread, three-cheese, toasted",starters and dishes,294.0,17.0,25.0,14.0,0.6,0.0
25428,"Sandwich, pita bread, kebab and raw vegetables",starters and dishes,232.0,15.2,17.0,10.9,1.1,2.3
25659,"Sandwich, polar bread, chicken and raw vegetables, prepacked",starters and dishes,218.0,9.81,28.1,7.01,5.14,1.9
25661,"Sandwich, polar bread, ham and cheese, prepacked",starters and dishes,266.0,10.5,27.2,12.3,5.31,2.27
25660,"Sandwich, polar bread, salmon, prepacked",starters and dishes,238.0,10.7,27.2,9.05,4.65,2.25
